id,text,classification,type_of_antisemitism,image_url,is_antisemitic,predicted_type,cos_is_antisemitic,cos_predicted_type
1.291817243278553e+18,Y'all are the future.,0,,https://pbs.twimg.com/media/Ee107xJXsAIYK_l.jpg,0,0,0,0
1.2927506331042895e+18,Not what you think  Propagandist  PRO zionist (Amos Oz supporter) Parents —&gt; Hollywood,1,0.0,https://pbs.twimg.com/media/EfDF2TjXYAE_a4h.jpg,1,0,1,0
1.2759187798312387e+18,I'm probably blackpilled due to years of zog programming but I can't help but think that he watches other men please his wife.,1,0.0,https://pbs.twimg.com/media/EbT5XA8WsAYauDY.jpg,0,0,0,0
1.2930900522521354e+18,The latest proof that trump has managed to simultaneously appeal to those who think US Jews aren’t loyal enough to Israel and those who think US Jews are too loyal to Israel.,1,0.0,https://pbs.twimg.com/media/EfH6jEXUMAAziFs.jpg,1,2,1,2
1.2932519610312049e+18,"Your Holiness, I would like to inform you that the building of the Bishop's Curia has been converted into apartments for Jews - Bishop Franciszek Barda reported in a letter to Pope Pius XII. Bishop Barda also gave false baptismal records to the Igel family, among others.",1,2.0,https://pbs.twimg.com/media/EfKNNTSXkAAnCBw.jpg,1,2,1,2
1.2933127745636065e+18,"The Republican Jewish Coalition's Matt Brooks says in a statement that Harris-who has a strong pro-Israel record and is married to a Jew - ""does not stand with Israel and the Jewish community.""  Could it be because Harris would not endorse inside trading $KODAK #TrumpCorruption ",0,,https://pbs.twimg.com/media/EfLFGPbWsAE7fbk.jpg,0,1,0,1
1.2933757547518812e+18,"Same poll shows Arab areas around Israel,Almost 60+%peoples agree on the Arab countries surrounding Israel are jungle in which Israeli civilisation has been established This means,they want to destroy and occupy the Arab countries,Now the #politicalwar is begin #TurkeyIsNotAlone",1,0.0,https://pbs.twimg.com/media/EfL-ZK3XgAAIUwr.jpg,1,0,1,0
1.2852043827794207e+18,God bless ya #Fraud&amp; #CorruptionUK ❤Thx❤  Your #YouTube #BOOM #Fantastic luv it ❤  Fraud &amp; Corruption UK #1 👍,0,,https://pbs.twimg.com/media/EdX1fEnWoAEvOmp.jpg,1,0,1,0
1.2932343825351352e+18,"Don't bother with him, hes indirectly helping Israel. The irony is that he's subconsciously working towards the of his own people. This is his master right here. Benjamin Netanyahu has successfully been able to control and demoralized the white race.",1,0.0,https://pbs.twimg.com/media/EfJ9zapU4AASVlV.jpg,1,0,1,0
1.278649503088816e+18,Today we created our own story of Zog in the form of a story board. Tomorrow we will write our story.,1,0.0,https://pbs.twimg.com/media/Eb6s8QTWAAEjWL7.jpg,0,0,0,0
1.290058183092744e+18,"Ha ha ha which planet are you on, ZOG!",1,0.0,https://pbs.twimg.com/media/Eec1FJsU8AA1F1J.jpg,0,0,0,0
1.292881111048061e+18,Netanyahu: ‘Rabbi Steinsaltz was an outstanding example of the persistent Jew’ -,0,,https://pbs.twimg.com/media/EfE8hOhU8AAiGoD.jpg,0,0,0,0
1.2830867633936056e+18,I just wanted to be left alone in Nature.  But the gov't thought I was a Ruby Ridge type and sent in two Huey helicopters of special forces to check up on me. So she left to do organic farming and I left for Hollywood to use the actor resources to make movies against ZOG.,0,,https://pbs.twimg.com/media/Ec5wb0aU4AEnvcl.jpg,0,0,0,0
1.2929596780584673e+18,08/10 Links Pt2: Anti-Zionism is Antisemitism; Judea Pearl: A Lesson for Seth Rogen (and All Jews) on Early Zionists and Arabs; The NAACP’s Failure to Deal With Rodney Muhammad’s Antisemitism: From Ian: --- Anti-Zionism is Antisemitism This…,0,,https://pbs.twimg.com/media/EfGD-bMU0AAoDeK.jpg,0,0,0,0
